route_id,route_short_name,total_trips,average_stops_per_trip,average_trip_duration_minutes,minimum_trip_duration_minutes,maximum_trip_duration_minutes,unique_stops,trips_evening_peak,trips_midday,trips_morning_peak,trips_off_peak
5,5,280,14.5,15.98,15.8,16.15,27,55,81,93,51
301,301,198,39.0,57.6,57.53,57.67,62,48,61,48,41
167,167,192,34.49,49.62,49.27,49.98,66,39,62,45,46
350,350,179,29.0,34.0,33.83,34.17,50,43,54,46,36
35,35,176,33.99,63.91,60.95,66.93,54,38,61,46,31
291,291,176,36.5,48.02,47.6,48.43,66,36,67,41,32
361,361,174,21.0,25.42,25.33,25.5,33,25,67,49,33
324,324,170,44.51,69.62,68.35,70.83,79,41,54,40,35
309,309,170,46.0,57.98,57.43,58.55,77,42,64,40,24
304,304,162,29.0,37.13,32.73,41.53,54,36,60,39,27
103,103,161,35.0,43.64,43.58,43.7,67,34,56,36,35
117,117,160,31.99,35.7,34.75,36.67,61,28,53,40,39
149,149,159,86.5,121.7,120.97,122.42,166,23,64,41,31
H8,H8,159,16.0,16.54,16.07,17.0,28,37,58,42,22
24A,24A,158,45.47,64.38,64.3,64.45,80,40,50,38,30
13,13,157,25.0,29.74,29.47,30.02,45,39,50,32,36
H9,H9,155,15.0,18.57,18.15,18.98,28,38,56,40,21
159,159,153,65.94,123.88,122.97,124.9,124,31,54,32,36
43,43,151,63.09,122.21,106.03,136.95,124,27,48,34,42
372,372,151,47.0,60.94,60.88,61.0,87,31,54,35,31
98,98,150,56.0,81.34,80.38,82.3,93,26,55,34,35
331,331,143,35.5,40.62,38.68,42.53,68,36,50,38,19
121,121,143,29.5,45.87,44.6,47.17,58,32,52,40,19
358,358,141,50.0,85.73,85.33,86.12,98,26,44,35,36
29,29,140,50.51,74.07,73.87,74.28,89,32,49,32,27
357,357,136,31.99,50.39,49.5,51.32,61,21,53,36,26
299,299,134,53.0,80.87,80.73,81.0,93,33,46,37,18
204,204,130,60.0,93.54,93.5,93.58,102,18,46,34,32
119,119,130,43.5,63.08,62.07,64.1,84,28,48,29,25
42,42,127,58.5,91.85,91.33,92.38,105,23,41,30,33
315,315,126,41.52,57.25,55.68,58.77,81,25,39,32,30
100,100,125,51.46,77.36,76.98,77.67,95,26,42,29,28
298,298,124,59.0,85.78,85.37,86.18,92,24,46,29,25
140,140,124,28.51,35.77,35.67,35.88,55,33,39,29,23
188,188,121,42.0,52.49,52.22,52.77,80,25,46,31,19
64,64,119,61.0,81.49,80.72,82.27,111,18,47,30,24
114,114,116,43.0,50.47,49.9,51.07,82,21,41,36,18
2,2,112,11.0,12.72,11.93,13.5,18,30,30,30,22
4,4,112,12.5,15.17,14.95,15.38,21,27,38,26,21
209,209,108,48.0,75.51,75.17,75.85,95,22,41,25,20
302,302,107,25.0,27.17,26.63,27.7,48,21,42,26,18
38,38,107,23.0,29.17,28.5,29.85,38,27,38,25,17
2A,2A,106,23.0,30.96,30.15,31.73,32,24,39,27,16
207A,207A,105,41.0,67.01,66.93,67.08,77,21,38,29,17
189,189,104,22.0,24.71,24.58,24.83,39,18,40,32,14
322,322,103,53.49,69.52,69.05,70.0,100,19,38,27,19
148,148,102,54.0,75.62,75.2,76.02,100,21,39,24,18
348,348,101,50.0,74.46,73.98,74.9,83,16,38,28,19
235,235,100,48.0,65.18,65.17,65.18,85,19,35,25,21
256,256,97,40.03,49.4,48.13,50.6,76,22,34,25,16
58,58,97,17.51,17.2,16.87,17.53,31,24,30,24,19
163,163,97,35.51,49.68,48.78,50.55,64,14,33,25,25
169,169,96,26.49,35.54,35.2,35.9,51,20,32,22,22
59,59,96,18.5,18.38,18.1,18.67,34,23,32,23,18
290,290,96,25.0,31.18,30.93,31.42,38,23,35,25,13
158,158,95,34.99,52.85,51.52,54.22,61,21,28,27,19
165,165,95,21.48,30.67,30.1,31.28,43,20,36,21,18
201,201,91,67.99,99.12,98.37,99.88,119,15,32,29,15
123,123,91,34.97,56.99,55.32,58.78,68,21,27,20,23
15,15,90,55.02,70.6,70.13,71.05,97,17,37,21,15
313,313,89,44.0,60.27,58.93,61.58,85,22,33,23,11
115,115,89,54.99,85.35,83.47,87.28,106,18,30,22,19
336,336,85,55.48,91.7,90.78,92.63,108,15,25,20,25
228,228,84,87.5,147.92,145.25,150.58,173,20,35,23,6
120,120,84,43.0,68.17,67.53,68.8,81,20,28,20,16
216,216,84,24.49,31.84,31.65,32.03,40,20,31,22,11
192,192,83,26.49,29.07,28.27,29.9,52,16,32,24,11
11,11,83,42.0,50.5,50.2,50.78,82,18,31,15,19
202,202,81,54.41,70.93,68.9,73.12,89,23,26,16,16
130,130,81,21.0,27.74,27.28,28.18,37,21,28,19,13
174,174,81,49.94,59.0,58.05,60.07,83,15,31,17,18
